Afghanistan,Asia,652230,25500100,20364000000,Kabul
Albania,Europe,28748,2821977,12044000000,Tirana
Algeria,Africa,2381741,38700000,2.07E+11,Algiers
Andorra,Europe,468,76098,3222000000,Andorra la Vella
Angola,Africa,1246700,19183590,1.16E+11,Luanda
Antigua and Barbuda,North America,442,86295,1176000000,St. John's
Argentina,South America,2780400,42669500,4.77E+11,Buenos Aires
Armenia,Asia,29743,3017400,9950000000,Yerevan
Australia,Oceania,7692024,23545500,1.56E+12,Canberra
Austria,Europe,83871,8504850,3.94E+11,Vienna
Azerbaijan,Asia,86600,9477100,68727000000,Baku
Bahamas,North America,13880,351461,8043000000,Nassau
Bahrain,Asia,765,1234571,30362000000,Manama
Bangladesh,Asia,147570,156557000,1.27E+11,Dhaka
Barbados,North America,430,285000,4533000000,Bridgetown
Belarus,Europe,207600,9467000,63259000000,Minsk
Belgium,Europe,30528,11198638,4.83E+11,City of Brussels
Belize,North America,22966,349728,1554000000,Belmopan
Benin,Africa,112622,9988068,7557000000,Porto-Novo
Bhutan,Asia,38394,749090,1861000000,Thimphu
Bolivia,South America,1098581,10027254,27035000000,Sucre
Bosnia and Herzegovina,Europe,51209,3791622,17319000000,Sarajevo
Botswana,Africa,582000,2024904,14410000000,Gaborone
Brazil,South America,8515767,202794000,2.25E+12,Brasilia
Brunei,Asia,5765,393162,16954000000,Bandar Seri Begawan
Bulgaria,Europe,110879,7245677,50972000000,Sofia
Burkina Faso,Africa,272967,17322796,10687000000,Ouagadougou
Burundi,Africa,27834,9420248,2257000000,Bujumbura
Cambodia,Asia,181035,15184116,14038000000,Phnom Penh
Cameroon,Africa,475442,20386799,26094000000,Yaounde
Canada,North America,9984670,35427524,1.59E+12,Ottowa
Cape Verde,Africa,4033,491875,1903000000,Praia
Central African Republic,Africa,622984,4709000,2184000000,Bangui
Chad,Africa,1284000,13211000,10183000000,N'Djamena
Chile,South America,756102,17773000,2.68E+11,Santiago
China,Asia,9596961,1365370000,8.36E+12,Beijing
Colombia,South America,1141748,47662000,3.70E+11,Bogota
Comoros,Africa,1862,743798,616000000,Moroni
Congo- Democratic Republic of,Africa,2344858,69360000,6.80E+10,Kinshasa
Congo- Republic of,Africa,342000,4559000,2.92E+10,Brazzaville
Costa Rica,North America,51100,4667096,45107000000,San Jose
Croatia,Europe,56594,4290612,56447000000,Zagreb
Cuba,North America,109884,11167325,71017000000,Havana
Cyprus,Asia,9251,865878,22768000000,Nicosia
Czech Republic,Europe,78865,10517400,1.96E+11,Prague
Cote d'Ivoire,Africa,322463,24184810,9.63E+10,Yamoussoukro
Denmark,Europe,43094,5634437,3.15E+11,Copenhagen
Djibouti,Africa,23200,886000,1361000000,Djibouti
Dominica,North America,751,71293,499000000,Roseau
Dominican Republic,North America,48671,9445281,58898000000,Santo Domingo
Ecuador,South America,276841,15774200,87495000000,Quito
Egypt,Asia,1002450,86736900,2.55E+11,Cairo
El Salvador,North America,21041,6384000,23864000000,San Salvador
Equatorial Guinea,Africa,28051,1622000,14491000000,Malabo
Eritrea,Africa,117600,6536000,3108000000,Asmara
Estonia,Europe,45227,1315819,22376000000,Tallinn
Ethiopia,Africa,1104300,87952991,41605000000,Addis Ababa
Fiji,Oceania,18272,858038,3999000000,Suva
Finland,Europe,338424,5458038,2.47E+11,Helsinki
France,Europe,640679,65906000,2.61E+12,Paris
Gabon,Africa,267668,1711000,24076000000,Libreville
Gambia,Africa,11295,1882450,3.58E+09,Banjul
Georgia,Asia,69700,4490500,15830000000,Tbilisi
Germany,Europe,357114,80716000,3.43E+12,Bonn
Ghana,Africa,238533,27043093,40711000000,Accra
Greece,Europe,131990,11123034,2.49E+11,Athens
Grenada,North America,344,103328,783000000,St. George's
Guatemala,North America,108889,15806675,50377000000,Guatemala City
Guinea,Africa,245857,10824200,6092000000,Conakry
Guinea-Bissau,Africa,36125,1746000,849000000,Bissau
Guyana,South America,214969,784894,2851000000,Georgetown
Haiti,North America,27750,10413211,7187000000,Port-au-Prince
Honduras,North America,112492,8555072,18564000000,Tegucigalpa
Hungary,Europe,93028,9879000,1.25E+11,Budapest
Iceland,Europe,103000,326340,13579000000,Reykjavik
India,Asia,3166414,1246160000,1.88E+12,New Delhi
Indonesia,Asia,1904569,252164800,8.78E+11,Jakarta
Iran,Asia,1648195,77552000,5.52E+11,Tehran
Iraq,Asia,438317,36004552,1.49E+11,Baghdad
Ireland,Europe,70273,4593100,2.11E+11,Dublin
Israel,Asia,20770,8193900,2.41E+11,Jerusalem
Italy,Europe,301336,60782668,2.01E+12,Rome
Jamaica,North America,10991,2717991,14795000000,Kingston
Japan,Asia,377930,127090000,5.96E+12,Imperial Tokyo
Jordan,Asia,89342,6602190,30937000000,Amman
Kazakhstan,Europe,2724900,17244000,2.03E+11,Astana
Kenya,Africa,580367,45546000,40697000000,Nairobi
Kiribati,Oceania,811,106461,176000000,South Tarawa
Kuwait,Asia,17818,3065850,1.83E+11,Kuwait City
Kyrgyzstan,Asia,199951,5776570,6475000000,Bishkek
Laos,Asia,236800,6580800,9100000000,Vientiane
Latvia,Europe,64559,1996500,28379000000,Riga
Lebanon,Asia,10452,4966000,42490000000,Beirut
Lesotho,Africa,30355,2098000,2443000000,Maseru
Liberia,Africa,111369,4397000,1491000000,Monrovia
Libya,Africa,1759540,6253000,95802000000,Tripoli
Liechtenstein,Europe,160,37132,5827000000,Vaduz
Lithuania,Europe,65300,2939431,42339000000,Vilnius
Luxembourg,Europe,2586,549700,55143000000,Luxembourg
Macedonia,Europe,25713,2062294,3.16E+10,Skopje
Madagascar,Africa,587041,21263403,9968000000,Antananarivo
Malawi,Africa,118484,16829000,5653000000,Lilongwe
Malaysia,Asia,330803,30177000,3.05E+11,Kuala Lumpur
Maldives,Asia,300,317280,2606000000,Male
Mali,Africa,1240192,15768000,10262000000,Bamako
Malta,Europe,316,416055,8775000000,Valletta
Marshall Islands,Oceania,181,56086,198000000,Majuro
Mauritania,Africa,1030700,3461041,3866000000,Nouakchott
Mauritius,Africa,2040,1257900,11452000000,Port Louis
Mexico,North America,1964375,119713203,1.18E+12,Mexico City
Micronesia- Federated States of,Oceania,702,101351,327000000,Palikir
Moldova,Europe,33846,3557600,7253000000,Chisinau
Monaco,Europe,2,36950,5707000000,Monaco-Ville
Mongolia,Asia,1564110,2931300,10271000000,Ulaanbaatar
Montenegro,Europe,13812,620029,4046000000,Podgorica
Morocco,Africa,446550,33307500,95992000000,Rabat
Mozambique,Africa,801590,23700715,14605000000,Maputo
Myanmar,Asia,676578,61120000,59444000000,Naypyidaw
Namibia,Africa,825615,2113077,12807000000,Windhoek
Nauru,Oceania,21,9945,121000000,Yaren District
Nepal,Asia,147181,26494504,18029000000,Kathmandu
Netherlands,Europe,41543,16857500,8.01E+11,Amsterdam
New Zealand,Oceania,270467,4538520,1.71E+11,Wellington
United Kingdom,Europe,242900,64105700,2.47E+12,London
United States,North America,9826675,318320000,1.62E+13,Washington D.C.
Uruguay,South America,181034,3286314,49919000000,Montevideo
Uzbekistan,Asia,447400,30492800,51414000000,Tashkent
Vanuatu,Oceania,12189,264652,752000000,Port Vila
Vatican City,Europe,0,839,0.00E+00,Vatican City
Venezuela,South America,916445,28946101,3.82E+11,Caracas
Vietnam,Asia,331212,89708900,1.56E+11,Hanoi
Yemen,Asia,527968,25235000,32831000000,Sana'a
Zambia,Africa,752612,15023315,21490000000,Lusaka
Zimbabwe,Africa,390757,13061239,9802000000,Harare
Nicaragua,North America,130373,6071045,10508000000,Managua
Niger,Africa,1267000,17138707,6773000000,Niamey
Nigeria,Africa,923768,178517000,2.86E+11,Abuja
North Korea,Asia,120538,25027000,14411000000,Pyongyang
Norway,Europe,323802,5124383,5.00E+11,Oslo
Oman,Asia,309500,4020000,78111000000,Muscat
Pakistan,Asia,881912,188020000,2.15E+11,Islamabad
Palau,Oceania,459,20901,213000000,Ngerulmud
Panama,North America,75417,3405813,36253000000,Panama City
Papua New Guinea,Oceania,462840,7398500,15677000000,Port Moresby
Paraguay,South America,406752,6783374,25935000000,Asuncion
Peru,South America,1285216,30475144,2.05E+11,Lima
Philippines,Asia,342353,99804200,2.50E+11,Manila
Poland,Europe,312679,38496000,4.90E+11,Warsaw
Portugal,Europe,92090,10477800,2.12E+11,Lisbon
Qatar,Asia,11586,2174035,1.92E+11,Doha
Romania,Europe,238391,19942642,1.69E+11,Bucharest
Russia,Europe,17125242,146000000,2.03E+12,Moscow
Rwanda,Africa,26338,10537222,7103000000,Kigali
Saint Kitts and Nevis,North America,261,55000,765000000,Basseterre
Saint Lucia,North America,616,180000,1318000000,Castries
Saint Vincent and the Grenadines,South America,389,109000,694000000,Kingstown
Samoa,Oceania,2842,187820,681000000,Apia
San Marino,Europe,61,32637,1853000000,San Marino
Sao Tome and Principe,Africa,964,201025,6.82E+08,Sao Tome
Saudi Arabia,Asia,2149690,29994272,7.11E+11,Riyadh
Senegal,Africa,196722,12873601,13962000000,Dakar
Serbia,Europe,88361,7181505,38491000000,Belgrade
Seychelles,Africa,452,90945,1031000000,Victoria
Sierra Leone,Africa,71740,6190280,43366000000,Freetown
Singapore,Asia,710,5399200,2.77E+11,Singapore
Slovakia,Europe,49037,5415949,91349000000,Bratislava
Slovenia,Europe,20273,2063151,45380000000,Ljubljana
Solomon Islands,Oceania,28896,581344,1010000000,Honiara
Somalia,Africa,637657,10806000,1306000000,Mogadishu
South Africa,Africa,1221037,52981991,3.84E+11,Pretoria
South Korea,Asia,100210,50423955,1.13E+12,Seoul
South Sudan,Africa,619745,11739000,10060000000,Juba
Spain,Europe,505992,46609700,1.32E+12,Madrid
Sri Lanka,Asia,65610,20277597,59421000000,Sri Jayawardenepura Kotte
Sudan,Africa,1886068,37289406,51453000000,Khartoum
Suriname,South America,163820,534189,5012000000,Paramaribo
Swaziland,Africa,17364,1268000,3861000000,Lobamba
Sweden,Europe,450295,9675885,5.24E+11,Stockholm
Switzerland,Europe,41284,8160900,6.31E+11,Bern
Syria,Asia,185180,21987000,46540000000,Damascus
Taiwan,Asia,36193,23386883,5.72E+11,Taipei
Tajikistan,Asia,143100,8160000,7633000000,Dushanbe
Tanzania,Africa,945087,44928923,28249000000,Dodoma
Thailand,Asia,513120,64456700,3.86E+11,Bangkok
Timor-Leste,Asia,14874,1212107,5387000000,Dili
Togo,Africa,56785,6993000,3917000000,Lome
Tonga,Oceania,747,103036,465000000,Nuku'alofa
Trinidad and Tobago,North America,5130,1328019,23225000000,Port of Spain
Tunisia,Africa,163610,10886500,45132000000,Tunis
Turkey,Asia,783562,76667864,7.88E+11,Ankara
Turkmenistan,Asia,488100,5307000,33466000000,Asgabat
Tuvalu,Oceania,26,11323,40000000,Funafuti
Uganda,Africa,241550,35357000,21736000000,Kampala
Ukraine,Europe,603500,43009258,1.76E+11,Kiev
United Arab Emirates,Asia,83600,9446000,3.84E+11,Abu Dhabi
